job_id,inferred,type
3887710723,1,401(k)
3884932599,1,Commuter benefits
3884932599,1,401(k)
3884437737,1,Disability insurance
3884437737,1,401(k)
3884433956,0,Medical insurance
3884433956,0,Vision insurance
3884433956,0,Dental insurance
3887710924,0,Medical insurance
3887710924,0,Vision insurance
3887710924,0,Dental insurance
3887710924,0,401(k)
3887710924,0,Paid maternity leave
3887710924,0,Paid paternity leave
3887710924,0,Commuter benefits
3887710924,0,Student loan assistance
3887710924,0,Disability insurance
3887710924,0,Tuition assistance
3884498907,0,Medical insurance
3884498907,0,Vision insurance
3884498907,0,Dental insurance
3884498907,0,401(k)
3884498907,0,Child care support
3884498907,0,Paid paternity leave
